Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
,,Confidence in the Federal Parliament rating of 1 or 2 ,44,37.2
,,Confidence in the Federal Parliament rating of 3 ,28.1,34.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,27.9,28.2
,,Confidence in the Canadian media rating of 1 or 2 ,33.5,35.3
,,Confidence in the Canadian media rating of 3 ,36,33.9
,,Confidence in the Canadian media rating of 4 or 5 ,30.5,30.9
,25 to 54 years,Confidence in the police rating of 1 or 2 ,17,17.1
,,Confidence in the police rating of 3 ,22.7,26.2
,,Confidence in the police rating of 4 or 5 ,60.2,56.7
,,Confidence in the justice system and courts rating of 1 or 2 ,24.5,26.4
,,Confidence in the justice system and courts rating of 3 ,28.1,26.8
,,Confidence in the justice system and courts rating of 4 or 5 ,47.4,46.8
,,Confidence in the school system rating of 1 or 2 ,25.9,23.9
,,Confidence in the school system rating of 3 ,31.6,32.9
,,Confidence in the school system rating of 4 or 5 ,42.5,43.2
,,Confidence in the Federal Parliament rating of 1 or 2 ,44.4,47.3
,,Confidence in the Federal Parliament rating of 3 ,29,25.7
,,Confidence in the Federal Parliament rating of 4 or 5 ,26.6,27
,,Confidence in the Canadian media rating of 1 or 2 ,34.3,38.4
,,Confidence in the Canadian media rating of 3 ,34.1,32.1
,,Confidence in the Canadian media rating of 4 or 5 ,31.6,29.5
,55 to 64 years,Confidence in the police rating of 1 or 2 ,12.5,11.3
,,Confidence in the police rating of 3 ,18.3,19.4
,,Confidence in the police rating of 4 or 5 ,69.3,69.4
,,Confidence in the justice system and courts rating of 1 or 2 ,21.9,21.3
,,Confidence in the justice system and courts rating of 3 ,25.6,28.8
,,Confidence in the justice system and courts rating of 4 or 5 ,52.5,49.9
,,Confidence in the school system rating of 1 or 2 ,18.8,18.6
,,Confidence in the school system rating of 3 ,33.9,32.6
,,Confidence in the school system rating of 4 or 5 ,47.3,48.8
,,Confidence in the Federal Parliament rating of 1 or 2 ,44.6,43.9
,,Confidence in the Federal Parliament rating of 3 ,29.4,31.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,25.9,24.5
,,Confidence in the Canadian media rating of 1 or 2 ,25.5,30.1
,,Confidence in the Canadian media rating of 3 ,36.6,32.8
,,Confidence in the Canadian media rating of 4 or 5 ,37.9,37
,65 years and over,Confidence in the police rating of 1 or 2 ,7.3,8.4
,,Confidence in the police rating of 3 ,20.4,18.3
,,Confidence in the police rating of 4 or 5 ,72.3,73.3
,,Confidence in the justice system and courts rating of 1 or 2 ,20,20.2
,,Confidence in the justice system and courts rating of 3 ,26.5,25.3
,,Confidence in the justice system and courts rating of 4 or 5 ,53.5,54.5
,,Confidence in the school system rating of 1 or 2 ,18.9,17.5
,,Confidence in the school system rating of 3 ,31.6,30.8
,,Confidence in the school system rating of 4 or 5 ,49.5,51.7
,,Confidence in the Federal Parliament rating of 1 or 2 ,38.5,37.3
,,Confidence in the Federal Parliament rating of 3 ,33.8,33.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,27.7,29.2
,,Confidence in the Canadian media rating of 1 or 2 ,22.8,23.4
,,Confidence in the Canadian media rating of 3 ,33.9,33.2
,,Confidence in the Canadian media rating of 4 or 5 ,43.3,43.4
,"Total, by immigrant status",Confidence in the police rating of 1 or 2 ,13.9,15.1
,,Confidence in the police rating of 3 ,20.9,23.4
,,Confidence in the police rating of 4 or 5 ,65.2,61.5
,,Confidence in the justice system and courts rating of 1 or 2 ,22.6,24.7
,,Confidence in the justice system and courts rating of 3 ,27.5,27.1
,,Confidence in the justice system and courts rating of 4 or 5 ,49.9,48.2
,,Confidence in the school system rating of 1 or 2 ,24,23
,,Confidence in the school system rating of 3 ,31.6,31.5
,,Confidence in the school system rating of 4 or 5 ,44.3,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 ,43.1,43.2
,,Confidence in the Federal Parliament rating of 3 ,29.9,29.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,26.9,27.3
,,Confidence in the Canadian media rating of 1 or 2 ,30.4,33.6
,,Confidence in the Canadian media rating of 3 ,34.8,32.7
,,Confidence in the Canadian media rating of 4 or 5 ,34.9,33.7
,Non-immigrants ,Confidence in the police rating of 1 or 2 ,14.8,15.2
,,Confidence in the police rating of 3 ,20.6,23.6
,,Confidence in the police rating of 4 or 5 ,64.7,61.1
,,Confidence in the justice system and courts rating of 1 or 2 ,25.7,28.5
,,Confidence in the justice system and courts rating of 3 ,29.8,28.8
,,Confidence in the justice system and courts rating of 4 or 5 ,44.5,42.7
,,Confidence in the school system rating of 1 or 2 ,26.6,25.5
,,Confidence in the school system rating of 3 ,32.9,33.3
,,Confidence in the school system rating of 4 or 5 ,40.5,41.2
,,Confidence in the Federal Parliament rating of 1 or 2 ,49.2,48.7
,,Confidence in the Federal Parliament rating of 3 ,29.7,29.3
,,Confidence in the Federal Parliament rating of 4 or 5 ,21.1,22
,,Confidence in the Canadian media rating of 1 or 2 ,32.4,35.1
,,Confidence in the Canadian media rating of 3 ,34.2,33.2
,,Confidence in the Canadian media rating of 4 or 5 ,33.4,31.8
,Immigrants ,Confidence in the police rating of 1 or 2 ,11.8,16
,,Confidence in the police rating of 3 ,21.9,23.1
,,Confidence in the police rating of 4 or 5 ,66.3,60.9
,,Confidence in the justice system and courts rating of 1 or 2 ,15.5,17.6
,,Confidence in the justice system and courts rating of 3 ,22.6,23.8
,,Confidence in the justice system and courts rating of 4 or 5 ,62,58.6
,,Confidence in the school system rating of 1 or 2 ,18.2,18.5
,,Confidence in the school system rating of 3 ,28.9,28.5
,,Confidence in the school system rating of 4 or 5 ,52.8,53
,,Confidence in the Federal Parliament rating of 1 or 2 ,29.1,32.7
,,Confidence in the Federal Parliament rating of 3 ,30.5,31.3
,,Confidence in the Federal Parliament rating of 4 or 5 ,40.4,36
,,Confidence in the Canadian media rating of 1 or 2 ,25.8,31.1
,,Confidence in the Canadian media rating of 3 ,36.5,32.1
,,Confidence in the Canadian media rating of 4 or 5 ,37.7,36.7
,"Total, urban and rural areas ",Confidence in the police rating of 1 or 2 ,13.9,15.1
